consumer_num,connected_load (watts),total_energy_billed (kWh)
21531,150,43.83
1013,1000,55.58
18683,1100,153
8606,900,236.83
24497,7859,237.25
17145,850,78.42
14111,920,235.25
15356,720,0
3260,150,135.33
18555,3340,214.17
18238,820,88.25
23789,1100,17.25
19644,3455,142.5
18554,4020,190.25
3652,150,453.25
13379,340,252.17
6529,6966,164.33
10325,200,0
2862,500,167
13199,4000,262.17
15381,2523,247.67
18283,200,9
24128,920,58.5
10625,2770,430.92
8776,1000,13.25
9173,150,84.92
18832,150,60.92
21307,380,45.75
8375,150,439.25
16534,7000,334
21220,1920,176.67
7976,650,219.17
15536,150,63.83
21639,2740,2.17
22703,3655,57.67
8760,1000,0
2598,363.85,25163.67
5201,1000,206.75
22947,240,171.08
24719,9793,399.83
3449,1000,23
3998,1470,628.5
4591,8735,289.75
6432,2000,51.92
21974,480,85.08
22169,5695,177
15685,180,175.58
18634,100,80.25
22763,840,39.92
18430,1350,304.5
14846,2760,324.5
25304,1720,457.08
3043,11400,515.67
7745,150,31.17
13685,240,93.42
19059,6890,402.75
21361,600,75.5
16501,340,142.58
22715,19126,652.25
25564,1380,49.83
4912,680,0
3250,150,206.58
17460,4340,225.67
8223,150,165.92
19265,920,263.67
24222,16140,1912.92
10417,300,323.58
2081,4566,256.83
6390,150,138.42
8670,900,111.08
18201,3410,385.67
13434,500,17.75
11344,150,0
20103,2000,181
9253,2393,280.58
15924,180,377.92
471,11190,4003.25
15134,200,22.58
2216,150,277.08
17049,2558,149.67
6805,450,130.42
11982,800,320.67
15229,2760,169
3191,150,313.58
14402,240,187.83
1295,1000,13.08
18551,440,124.17
4355,900,157.83
21416,4395,627.58
18914,5730,118.5
7415,1000,4.58
1658,4000,1328
22185,200,414.5
6601,6585,336.08
13565,4093,211.42
23629,880,137.67
9487,340,0
26306,380,3.25
2667,150,291.17
5780,1000,119.75
17865,200,53.5
3389,2000,86.67
25967,1433,45
10306,460,45.08
5455,600,292.5
1898,150,222.67
12907,1000,39.58
18394,400,209.08
5321,150,124
5729,890,0
3362,3820,2485.42
10750,380,14.5
17696,150,251.83
23765,700,281.25
5542,600,82.33
20304,300,292.5
7362,150,101.25
16523,2070,120.58
19667,320,95.58
16918,27830,0
7303,1000,0.17
5467,600,105.42
12709,150,163.33
18384,4060,400
3526,1000,0
14483,5000,617.5
24252,1990,50.08
3678,150,153.58
21505,5470,602.42
19931,180,184
12462,1406,92.33
21705,2473,133.67
8075,5808,127.67
6115,150,238.08
